Date,Mag.,SN Position,Type
2013 10 19,15.3,22 04 21.53 +39 44 34.0,Ia
2013 11 02,15.1,04 23 46.44 -51 35 46.3,Ia
2013 10 25,16.5,21 37 27.12 -47 01 54.8,Ia
2013 10 21,17.9,23 03 21.77 -69 11 18.5,Ia
2013 10 21,17.1,21 13 44.77 +13 34 33.3,Ia
2013 10 11,18.2,03 36 16.05 +67 34 15.7,II
2013 08 31,14.1,23 54 29.91 +29 25 47.6,Ib/c
2013 09 13,18.6,23 41 35.20 +03 43 30.5,IIP
2013 10 07,16.5,23 19 44.67 +10 11 04.5,IIn?
2013 09 28,16.2,04 08 02.35 +23 17 39.4,IIn
2013 09 15,15.3,19 59 07.95 -55 55 46.6,IIb
2013 09 19,19.4,05 32 07.25 -07 54 23.8,IIP
2013 09 24,17.7,01 20 31.94 +12 03 12.2,Ia
2013 09 23,18.5,21 00 23.76 -14 29 52.2,Ia
2013 09 06,17.0,07 31 05.40 +57 56 10.8,Ia
2013 09 22,17.6,17 33 39.55 +50 22 25.5,IIP
2013 09 03,18.5,01 57 33.55 -02 05 57.2,Ia
2013 09 07,16.7,22 15 28.51 +15 34 04.1,Ia
2013 08 31,18.1,03 04 38.56 +42 13 49.4,Ia
2013 08 30,18.5,04 21 38.20 -17 55 41.4,Ia
2013 09 02,15.4,08 21 22.44 -13 18 37.0,Ia
2013 08 31,16.0,09 13 38.88 +76 28 10.8,Ic
2013 08 13,14.4,03 03 53.25 -39 24 20.2,Ia
2013 08 27,18.5,01 34 00.66 -34 23 40.4,IIp
2013 08 20,15.4,02 45 08.96 -55 44 27.3,IIn
2013 08 27,16.0,02 22 42.07 +28 16 01.2,Ia
2013 08 25,16.2,20 43 53.57 +12 30 51.7,Ia
2013 02 15,14.2,02 54 00.7  +13 23 43.7,Ic
2013 08 11,16.3,20 58 03.73 +11 03 10.8,Ia
2013 08 19,15.6,05 32 46.62 -14 02 45.4,Ia
2013 08 13,18.7,22 10 09.69 +11 16 47.9,Ia-p
2013 08 11,17.2,18 53 18.45 +33 03 52.7,II
2013 08 11,15.6,10 24 22.31 +78 36 23.5,Ia
2013 08 02,18.4,02 14 17.05 +07 35 11.8,Ia
2013 08 01,18.0,14 10 50.17 +55 25 24.0,IIP
2013 07 29,17.4,13 07 51.09 -00 52 00.4,Ia
2013 07 30,18.5,17 33 15.73 +36 28 35.2,IIP
2013 07 29,18.4,22 58 30.35 +40 25 44.5,IIb
2013 07 31,17.4,20 06 57.88 -56 25 31.2,Ia
2013 07 30,16.5,18 51 37.35 +23 38 20.6,Ia-p
2013 07 27,16.7,23 02 26.62 +32 31 31.2,Ia
2013 07 11,15.5,03 17 52.45 -07 18 02.1,Ib
2013 07 24,16.9,20 57 53.90 -51 52 24.5,Ib/c
2013 07 25,13.5,01 36 48.16 +15 45 31.0,II
2013 06 26,16.0,21 26 31.93 +12 10 49.4,Ia
2013 07 19,16.6,16 16 09.19 +38 32 53.0,Ia
2013 06 10,17.5,10 43 28.19 -25 51 52.1,Ia
2013 07 04,16.1,01 55 20.71 +06 36 35.3,Ia
2013 07 13,15.5,10 01 56.83 +55 41 44.0,II
2013 07 18,16.7,16 16 24.29 +51 53 05.7,Ia
2013 07 02,19.0,16 27 50.26 +40 28 21.3,Ia
2013 07 13,17.8,15 11 14.85 +46 09 11.5,Ia
2013 07 09,16.9,01 20 16.45 +30 10 55.7,Ia
2013 07 11,16.2,02 58 24.40 +36 17 03.5,IIn
2013 07 10,17.0,22 18 17.60 +40 34 09.6,Ia
2013 07 02,17.4,14 29 14.78 +15 46 26.4,Ic
2013 07 02,18.8,16 13 58.84 +42 41 59.0,IIn
2013 07 02,17.1,17 03 10.73 +27 26 53.9,Ia
2013 06 23,18.5,01 24 14.25 -34 43 36.4,IIP
2013 06 30,16.8,22 44 35.60 +03 38 38.0,Ia
2013 07 01,18.0,16 11 29.58 +57 22 51.7,II
2013 07 01,16.3,17 19 30.26 +47 42 04.6,Ia
2013 06 27,16.8,00 51 34.84 +29 43 14.9,Ia
2013 06 10,16.3,16 17 32.31 +31 34 57.2,Ia
2013 06 16,17.0,22 39 50.67 +38 12 44.3,IIP
2013 06 14,16.2,23 37 45.74 +14 42 37.1,IIn
2013 05 02,18.4,13 50 52.90 -30 17 09.4,Ia
2013 06 17,15.2,01 18 41.76 -07 26 39.7,Ia
2013 06 22,15.8,12 01 52.72 -18 52 18.3,Ic
2013 06 10,16.6,16 46 01.94 +06 27 59.3,Ia
2013 06 12,18.2,22 36 27.46 +21 36 54.3,Ia
2013 06 12,18.0,15 30 01.09 +12 59 12.9,Ia
2013 05 17,19.5,13 18 41.35 -07 04 43.0,Ic-p
2013 06 07,14.4,12 26 29.33 +31 13 38.3,II
2013 05 31,18.0,10 02 07.97 +11 57 05.2,Ia
2013 05 27,17.5,15 36 05.15 +13 57 06.9,Ia
2013 04 11,18.7,16 52 58.97 +02 24 25.5,IIP
2013 05 29,17.1,11 40 43.99 +22 25 54.9,IIP
2013 06 05,16.5,13 45 36.21 -07 19 32.6,Ia
2013 05 07,17.9,19 49 32.51 -70 13 20.0,II
2013 05 31,16.8,22 10 34.21 -22 39 48.0,Ia
2013 05 21,17.7,17 04 16.05 +41 30 37.6,Ia
2013 05 29,16.9,16 41 27.17 +57 47 05.0,Ia
2013 05 20,16.5,16 22 43.16 +18 57 35.6,Ia-p
2013 05 05,15.7,14 33 58.97 +40 14 20.7,II?
2013 05 10,12.2,01 12 54.92 +00 58 45.7,Ia
2013 05 14,14.7,13 15 14.81 -17 57 55.6,Ia
2013 05 14,17.5,16 11 46.47 +40 51 22.2,IIP
2013 04 27,12.0,11 32 32.84 +27 41 56.2,Ic
2013 05 07,18.5,16 19 52.22 +38 56 07.9,Ia
2013 05 06,17.7,12 55 50.51 +30 30 41.5,Ic
2013 05 10,19.5,17 58 50.34 +34 00 16.6,IIP
2013 05 10,18.3,17 20 01.94 +23 44 51.3,Ia-p
2013 05 03,17.9,16 19 31.59 +24 47 11.3,Ia
2013 05 08,17.5,15 24 29.07 +48 32 54.6,Ia
2013 05 09,18.1,17 04 52.95 +12 55 10.4,IIn
2013 05 04,17.1,17 04 53.68 +09 07 59.6,Ia
2013 04 30,16.9,12 41 43.41 -84 27 52.4,IIb
2013 05 06,13.3,09 26 56.77 -24 46 59.6,Ia
2013 04 29,18.1,11 34 36.49 +54 53 24.4,IIP
2013 05 01,17.3,11 35 50.80 +34 17 02.7,IIP
2013 04 28,17.0,08 16 49.00 +60 29 28.5,Ia?
2013 04 28,17.0,05 41 58.76 +69 21 40.9,II
2013 05 01,18.1,11 35 01.74 +16 07 16.8,Ia
2013 05 01,18.1,11 58 43.25 +19 08 56.2,IIP
2013 04 21,15.7,13 26 51.32 -10 01 32.2,Ia
2013 04 23,13.5,16 59 02.43 -60 11 41.8,II
2013 04 09,19.8,12 47 24.22 +32 32 50.0,Ia
2013 04 14,18.4,10 46 52.37 -01 23 26.9,II
2013 04 09,18.7,08 41 21.28 +52 43 30.3,Ic?
2013 04 21,16.6,22 37 02.17 +34 24 05.2,II
2013 04 18,18.0,14 21 15.13 +61 34 15.9,Ia
2013 04 18,17.0,17 17 22.03 +41 04 00.2,Ia
2013 04 14,18.2,11 21 30.88 -03 31 02.8,II
2013 04 15,18.3,13 04 08.45 +43 54 07.7,Ia
2013 04 15,18.6,12 19 04.88 +42 24 53.9,Ia
2013 04 15,17.6,13 17 29.19 +42 44 29.6,Ia
2013 04 15,17.9,11 48 02.03 +54 34 38.6,Ic
2013 04 16,17.9,10 48 26.57 +38 24 07.9,II
2013 04 07,18.0,08 46 15.06 +41 34 40.0,IIb
2013 04 07,18.3,09 40 47.55 -05 26 11.9,Ic
2013 04 04,18.0,14 04 19.63 -07 03 06.9,IIP
2013 03 24,16.4,18 25 01.98 +27 31 53.7,IIP
2013 04 03,18.5,15 02 13.09 +10 38 45.6,Ia-p
2013 04 04,18.1,10 20 42.87 -06 26 56.8,Ia
2013 03 28,18.8,08 58 36.07 +54 19 25.7,Ia
2013 04 05,19.6,12 36 27.67 +11 45 28.1,Ia
2013 03 17,20.2,15 42 58.13 -18 23 47.2,IIb
2013 03 31,18.1,13 10 21.31 -07 10 24.1,Ia
2013 04 03,18.4,14 12 13.96 +15 50 31.5,IIb
2013 04 04,19.9,13 52 56.63 +21 56 21.7,Ia
2013 03 24,17.1,05 39 52.13 -40 30 28.1,Ia
2013 03 26,15.1,18 42 37.86 -64 56 13.5,Ia
2013 03 07,17.4,07 20 03.51 +55 55 48.4,Ia
2013 03 11,20.3,10 30 58.47 +20 04 52.9,II
2013 03 01,17.7,12 19 32.65 +38 02 25.9,Ia
2013 03 23,17.7,12 21 14.16 +47 29 52.4,Ia
2013 03 19,16.9,18 50 11.29 +30 20 59.5,IIP
2013 03 15,18.1,11 52 52.34 -18 59 19.9,Ia
2013 03 14,18.9,08 37 45.02 +49 28 32.2,Ia
2013 03 13,16.7,14 24 42.57 -03 12 30.9,IIP
2013 02 18,19.5,12 58 24.92 +12 35 53.3,Ia
2013 03 04,17.0,11 44 44.74 -20 31 41.1,Ia
2013 02 05,18.2,12 49 54.21 +06 20 40.6,II
2013 03 21,15.6,11 18 56.95 +13 03 49.4,II
